year,country,ccode,obsid,leader,tstart,tstop,event,event2,sanction,sanction_fin,sanction_trade,polity2,demobin,anocracy,autocracy,regime3,gwf_personal,gwf_military,gwf_party,Llog_gdppc,Llog_pop,Llog_imports_gdp_pc,Llog_oil_gas,cold_war,relfrac,gmlmidongoing
1960,Afghanistan,700,AFG-1953,Sardar Mohammad Daud Khan,2307,2672,0,0,0,0,0,-10,0,0,1,Autocracy,0,0,0,NA,NA,NA,NA,1,0.2383999768005276,1
1961,Afghanistan,700,AFG-1953,Sardar Mohammad Daud Khan,2673,3037,0,0,0,0,0,-10,0,0,1,Autocracy,0,0,0,7.189922170745808,16.100847757548767,0.37050659032056976,0,1,0.2401111372821021,1
1962,Afghanistan,700,AFG-1953,Sardar Mohammad Daud Khan,3038,3402,0,0,0,0,0,-10,0,0,1,Autocracy,0,0,0,7.1770187659099,16.122386432375475,0.3460694570998239,0,1,0.24183049389677158,0
1963,Afghanistan,700,AFG-1953,Sardar Mohammad Daud Khan,3403,3471,0,1,0,0,0,-10,0,0,1,Autocracy,0,0,0,7.171656822768514,16.144445426281102,0.3192225820330993,0,1,0.24355797582252503,0
1963,Afghanistan,700,AFG-1963,Mohammad Yusuf,0,296,0,0,0,0,0,-10,0,0,1,Autocracy,0,0,0,NA,NA,NA,NA,1,0.24355797582252503,0
1964,Afghanistan,700,AFG-1963,Mohammad Yusuf,297,662,0,0,0,0,0,-7,0,0,1,Autocracy,0,0,0,7.168579897264035,16.16698104868813,0.29177670807211564,0,1,0.24529353956172872,0
1965,Afghanistan,700,AFG-1963,Mohammad Yusuf,663,968,0,1,0,0,0,-7,0,0,1,Autocracy,0,0,0,7.1631723908466425,16.18985801718521,0.6992385343434562,0,1,0.24703725629696105,0
1965,Afghanistan,700,AFG-1965,Mohammad Hashim Maiwandwal,0,59,0,0,0,0,0,-7,0,0,1,Autocracy,0,0,0,NA,NA,NA,NA,1,0.24703725629696105,0
1966,Afghanistan,700,AFG-1965,Mohammad Hashim Maiwandwal,60,424,0,0,0,0,0,-7,0,0,1,Autocracy,0,0,0,7.162397497355718,16.213223996049898,0.647820669344222,0,1,0.24878885655322291,0
1967,Afghanistan,700,AFG-1965,Mohammad Hashim Maiwandwal,425,708,0,1,0,0,0,-7,0,0,1,Autocracy,0,0,0,7.148345743900068,16.2369447847967,0.3942034481347457,0,1,0.2505486648141413,0
1967,Afghanistan,700,AFG-1967-1,Abdallah Yakta,0,21,0,1,0,0,0,-7,0,0,1,Autocracy,0,0,0,NA,NA,NA,NA,1,0.2505486648141413,0
1967,Afghanistan,700,AFG-1967-2,Nur Ahmad Etemadi,0,60,0,0,0,0,0,-7,0,0,1,Autocracy,0,0,0,NA,NA,NA,NA,1,0.2505486648141413,0
